"LITHOSTRATIGRAPHIC LOG COMPILATION  —  Published + This Study (Benin Formation, Delta State)  Depths in metres",,,,,,,,,,,,,,,,,
BH_ID,Site Name,Region,"Depth From
(m)","Depth To
(m)","Thickness
(m)","Lithology
(Field Description)",Facies Code,Grain Size,Colour,"Aquifer
Class","Benin Fm
Unit","Data
Quality",Source,,,,
BH-001,Abraka-BH-1,Delta Central,0.00,3.00,3.00,Lateritic topsoil (reddish-brown),TS,–,Red-brown,Aquitard,Upper Benin,A,Anomohanran 2014,,,,
BH-001,Abraka-BH-1,Delta Central,3.00,12.00,9.00,"Lateritic sand (reddish, loose)",TS,Very fine,Red-brown,Aquitard,Upper Benin,A,Anomohanran 2014,,,,
BH-001,Abraka-BH-1,Delta Central,12.00,35.00,23.00,Fine to medium sand with clay streaks,CL-FS,Fine-med,Grey-white,Semi-aquifer,Upper Benin,A,Anomohanran 2014,,,,
BH-001,Abraka-BH-1,Delta Central,35.00,75.00,40.00,"Coarse sand, grey-white",CS,Coarse,Grey-white,Aquifer,Mid Benin,A,Anomohanran 2014,,,,
BH-001,Abraka-BH-1,Delta Central,75.00,95.00,20.00,Medium-coarse sand,MS-CS,Med-coarse,Grey,Aquifer,Mid Benin,A,Anomohanran 2014,,,,
BH-003,Abraka-BH-3,Delta Central,0.00,3.00,3.00,Lateritic topsoil,TS,–,Red,Aquitard,Upper Benin,A,Anomohanran 2014,,,,
BH-003,Abraka-BH-3,Delta Central,3.00,18.00,15.00,Reddish lateritic sand,TS,VF,Red,Aquitard,Upper Benin,A,Anomohanran 2014,,,,
BH-003,Abraka-BH-3,Delta Central,18.00,45.00,27.00,Fine-medium sand with clay,FS,Fine,Grey,Aquifer,Upper Benin,A,Anomohanran 2014,,,,
BH-003,Abraka-BH-3,Delta Central,45.00,110.00,65.00,Coarse to very coarse sand,CS,Coarse-VCS,White-grey,Aquifer,Mid Benin,A,Anomohanran 2014,,,,
BH-005,Orerokpe-BH-1,Delta Central,0.00,6.40,6.40,Topsoil+clay cap,TS,–,Brown,Aquitard,Upper Benin,B,Aweto & Akpoborie 2015,,,,
BH-005,Orerokpe-BH-1,Delta Central,6.40,20.00,13.60,Sandy clay/clayey sand,SC,Fine,Yellow-brown,Semi-aquifer,Upper Benin,B,Aweto & Akpoborie 2015,,,,
BH-005,Orerokpe-BH-1,Delta Central,20.00,75.00,55.00,Sand (fine to coarse) – main aquifer,MS,Med-coarse,Grey,Aquifer,Mid Benin,B,Aweto & Akpoborie 2015,,,,
BH-007,Asaba-BH-1,Delta North,0.00,25.00,25.00,Alluvial terrace (brown laterite+sand),TS,Fine,Brown,Aquitard,Alluvial/Ogwashi,A,Akpoborie et al. 2011,,,,
BH-007,Asaba-BH-1,Delta North,25.00,65.00,40.00,Fine to medium sand (grey-white),FS-MS,Fine-med,Grey-white,Aquifer,Ogwashi-Asaba,A,Akpoborie et al. 2011,,,,
BH-007,Asaba-BH-1,Delta North,65.00,95.00,30.00,Coarse sand with lignite streaks,CS,Coarse,White,Aquifer,Lower Ogwashi,A,Akpoborie et al. 2011,,,,
BH-013,Ndokwa-BH-1,Delta Central,0.00,3.00,3.00,Lateritic topsoil,TS,–,Red,Aquitard,Upper Benin,B,Anomohanran et al. 2017,,,,
BH-013,Ndokwa-BH-1,Delta Central,3.00,8.00,5.00,Very fine sand (reddish),SI-FS,VF,Red,Semi-aquifer,Upper Benin,B,Anomohanran et al. 2017,,,,
BH-013,Ndokwa-BH-1,Delta Central,8.00,18.00,10.00,Clayey fine sand,CL-FS,Fine,Yellow,Semi-aquifer,Upper Benin,B,Anomohanran et al. 2017,,,,
BH-013,Ndokwa-BH-1,Delta Central,18.00,45.00,27.00,Fine to medium sand (grey),FS-MS,F-M,Grey,Aquifer,Mid Benin,B,Anomohanran et al. 2017,,,,
BH-013,Ndokwa-BH-1,Delta Central,45.00,72.00,27.00,Coarse-medium sand,MS-CS,C-M,Grey-white,Aquifer,Mid Benin,B,Anomohanran et al. 2017,,,,
BH-020,Agbor-BH-1,Delta North,0.00,6.00,6.00,Lateritic topsoil,TS,–,Red,Aquitard,Upper Benin,A,Anomohanran et al. 2021,,,,
BH-020,Agbor-BH-1,Delta North,6.00,20.00,14.00,Lateritic sand,TS,VF,Red-brown,Aquitard,Upper Benin,A,Anomohanran et al. 2021,,,,
BH-020,Agbor-BH-1,Delta North,20.00,29.00,9.00,Clay/Sandy clay,SC,–,Brown,Semi-aquifer,Upper Benin,A,Anomohanran et al. 2021,,,,
BH-020,Agbor-BH-1,Delta North,29.00,55.00,26.00,Fine to medium sand (aquifer 1),FS-MS,F-M,Grey,Aquifer,Mid Benin,A,Anomohanran et al. 2021,,,,
BH-020,Agbor-BH-1,Delta North,55.00,82.00,27.00,Medium-coarse sand (aquifer 2),MS-CS,M-C,White,Aquifer,Mid-Lower Benin,A,Anomohanran et al. 2021,,,,
BH-022,Nsukwa-BH-1,Delta Central,0.00,5.00,5.00,Topsoil (laterite),TS,–,Red,Aquitard,Upper Benin,A,Ofomola et al. 2024,,,,
