top_ft,base_ft,facies_code,facies_name,aq_class,contact,top_m,base_m,thick_m,well,region,K_mday,porosity,T_m2day,easting,northing,lat,lon,td_m,mid_m
0,40,TS,Topsoil / Laterite,Aquitard,Sharp,0.0,12.192,12.192,Asaba-2,Delta North,0.001,5,0.012192,477067.05,243397.36,6.197111111111111,6.725694444444445,106.01,6.096
40,80,FS,Fine Sand,Aquifer,Sharp,12.192,24.384,12.192,Asaba-2,Delta North,25.0,32,304.8,477067.05,243397.36,6.197111111111111,6.725694444444445,106.01,18.288
80,128,MS,Medium Sand,Aquifer,Gradational,24.384,39.0144,14.630400000000002,Asaba-2,Delta North,100.0,35,1463.0400000000002,477067.05,243397.36,6.197111111111111,6.725694444444445,106.01,31.6992
128,150,FS,Fine Sand,Aquifer,Sharp,39.0144,45.72,6.705599999999997,Asaba-2,Delta North,25.0,32,167.63999999999993,477067.05,243397.36,6.197111111111111,6.725694444444445,106.01,42.3672
150,230,MS,Medium Sand,Aquifer,Gradational,45.72,70.104,24.384,Asaba-2,Delta North,100.0,35,2438.4,477067.05,243397.36,6.197111111111111,6.725694444444445,106.01,57.912
230,240,SI-FS,Silty Fine Sand (transitional),Semi-aquifer,Gradational,70.104,73.152,3.048000000000002,Asaba-2,Delta North,5.0,28,15.240000000000009,477067.05,243397.36,6.197111111111111,6.725694444444445,106.01,71.628
240,247,LG,Lignite / Carbonaceous Clay,Aquitard,Sharp,73.152,75.2856,2.1336000000000013,Asaba-2,Delta North,0.001,5,0.002133600000000001,477067.05,243397.36,6.197111111111111,6.725694444444445,106.01,74.2188
247,310,FS,Fine Sand,Aquifer,Sharp,75.2856,94.488,19.202399999999997,Asaba-2,Delta North,25.0,32,480.05999999999995,477067.05,243397.36,6.197111111111111,6.725694444444445,106.01,84.8868
310,320,SI-FS,Silty Fine Sand (transitional),Semi-aquifer,Gradational,94.488,97.536,3.048000000000002,Asaba-2,Delta North,5.0,28,15.240000000000009,477067.05,243397.36,6.197111111111111,6.725694444444445,106.01,96.012
320,330,FS,Fine Sand,Aquifer,Sharp,97.536,100.584,3.048000000000002,Asaba-2,Delta North,25.0,32,76.20000000000005,477067.05,243397.36,6.197111111111111,6.725694444444445,106.01,99.06
330,348,SI-FS,Silty Fine Sand (transitional),Semi-aquifer,Gradational,100.584,106.0704,5.486400000000003,Asaba-2,Delta North,5.0,28,27.432000000000016,477067.05,243397.36,6.197111111111111,6.725694444444445,106.01,103.3272
0,100,TS,Topsoil / Laterite,Aquitard,Sharp,0.0,30.48,30.48,Issele-Uku,Delta North,0.001,5,0.03048,442810.38,254644.39,6.3,6.416666666666667,206.01,15.24
100,260,MS-CS,Medium–Coarse Sand (transitional),Aquifer,Gradational,30.48,79.248,48.768,Issele-Uku,Delta North,200.0,36,9753.6,442810.38,254644.39,6.3,6.416666666666667,206.01,54.864000000000004
260,300,CL,Clay,Aquitard,Sharp,79.248,91.44,12.191999999999993,Issele-Uku,Delta North,0.005,8,0.060959999999999966,442810.38,254644.39,6.3,6.416666666666667,206.01,85.344
300,360,FS,Fine Sand,Aquifer,Sharp,91.44,109.72800000000001,18.28800000000001,Issele-Uku,Delta North,25.0,32,457.2000000000003,442810.38,254644.39,6.3,6.416666666666667,206.01,100.584
360,422,CL,Clay,Aquitard,Sharp,109.72800000000001,128.62560000000002,18.89760000000001,Issele-Uku,Delta North,0.005,8,0.09448800000000006,442810.38,254644.39,6.3,6.416666666666667,206.01,119.17680000000001
422,525,MS-CS,Medium–Coarse Sand (transitional),Aquifer,Gradational,128.62560000000002,160.02,31.39439999999999,Issele-Uku,Delta North,200.0,36,6278.879999999998,442810.38,254644.39,6.3,6.416666666666667,206.01,144.32280000000003
525,545,FS,Fine Sand,Aquifer,Sharp,160.02,166.116,6.096000000000004,Issele-Uku,Delta North,25.0,32,152.4000000000001,442810.38,254644.39,6.3,6.416666666666667,206.01,163.068
545,580,MS,Medium Sand,Aquifer,Gradational,166.116,176.78400000000002,10.668000000000006,Issele-Uku,Delta North,100.0,35,1066.8000000000006,442810.38,254644.39,6.3,6.416666666666667,206.01,171.45000000000002
580,600,FS,Fine Sand,Aquifer,Sharp,176.78400000000002,182.88,6.095999999999975,Issele-Uku,Delta North,25.0,32,152.39999999999938,442810.38,254644.39,6.3,6.416666666666667,206.01,179.832
600,620,MS,Medium Sand,Aquifer,Sharp,182.88,188.976,6.096000000000004,Issele-Uku,Delta North,100.0,35,609.6000000000004,442810.38,254644.39,6.3,6.416666666666667,206.01,185.928
620,640,FS,Fine Sand,Aquifer,Sharp,188.976,195.072,6.096000000000004,Issele-Uku,Delta North,25.0,32,152.4000000000001,442810.38,254644.39,6.3,6.416666666666667,206.01,192.024
640,655,MS,Medium Sand,Aquifer,Sharp,195.072,199.644,4.572000000000003,Issele-Uku,Delta North,100.0,35,457.2000000000003,442810.38,254644.39,6.3,6.416666666666667,206.01,197.358
655,676,CL,Clay,Aquitard,Sharp,199.644,206.0448,6.400800000000004,Issele-Uku,Delta North,0.005,8,0.03200400000000002,442810.38,254644.39,6.3,6.416666666666667,206.01,202.8444
0,70,TS,Topsoil / Laterite,Aquitard,Sharp,0.0,21.336000000000002,21.336000000000002,Umunede,Delta North,0.001,5,0.021336,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,10.668000000000001
70,100,FS,Fine Sand,Aquifer,Sharp,21.336000000000002,30.48,9.143999999999998,Umunede,Delta North,25.0,32,228.59999999999997,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,25.908
100,120,SI,Silt,Aquitard,Sharp,30.48,36.576,6.096,Umunede,Delta North,0.05,20,0.3048,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,33.528
120,145,FS,Fine Sand,Aquifer,Sharp,36.576,44.196000000000005,7.6200000000000045,Umunede,Delta North,25.0,32,190.5000000000001,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,40.386
145,149,SI,Silt,Aquitard,Sharp,44.196000000000005,45.415200000000006,1.2192000000000007,Umunede,Delta North,0.05,20,0.06096000000000004,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,44.805600000000005
149,175,FS,Fine Sand,Aquifer,Sharp,45.415200000000006,53.34,7.924799999999998,Umunede,Delta North,25.0,32,198.11999999999995,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,49.3776
175,220,CL,Clay,Aquitard,Sharp,53.34,67.056,13.715999999999994,Umunede,Delta North,0.005,8,0.06857999999999997,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,60.198
220,300,MS-CS,Medium–Coarse Sand (transitional),Aquifer,Gradational,67.056,91.44,24.384,Umunede,Delta North,200.0,36,4876.8,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,79.24799999999999
300,330,MS,Medium Sand,Aquifer,Sharp,91.44,100.584,9.144000000000005,Umunede,Delta North,100.0,35,914.4000000000005,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,96.012
330,345,CL,Clay,Aquitard,Sharp,100.584,105.156,4.572000000000003,Umunede,Delta North,0.005,8,0.022860000000000016,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,102.87
345,395,FS,Fine Sand,Aquifer,Sharp,105.156,120.396,15.239999999999995,Umunede,Delta North,25.0,32,380.9999999999999,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,112.77600000000001
395,540,CL,Clay,Aquitard,Sharp,120.396,164.592,44.19600000000001,Umunede,Delta North,0.005,8,0.22098000000000007,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,142.494
540,570,FS,Fine Sand,Aquifer,Sharp,164.592,173.73600000000002,9.144000000000005,Umunede,Delta North,25.0,32,228.60000000000014,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,169.16400000000002
